Каллорий сожжено,Вес,Возраст,Пол,Продолжительность,Частота сердцебиений,Индекс массы тела
358.3466383,70.36141086,49,2,26,147,31.45953251
160.9690713,80.18789306,18,2,54,144,32.55908847
433.3784083,48.53275564,53,1,28,138,32.3289205
416.4097674,77.63616703,20,1,31,119,22.14673854
464.8525488,87.95259143,39,2,20,178,24.65789705
455.2976662,82.66011092,20,2,30,171,23.71954549
208.5658383,94.53015679,60,1,33,115,21.25913549
406.3145746,81.29137195,55,1,56,107,29.26123386
353.6219754,63.8397907,40,2,27,105,32.26876915
387.8853538,60.70038569,26,1,40,110,30.80855537
414.1461206,74.45428441,33,1,58,161,31.38089801
188.3104409,77.63738752,35,1,35,130,23.76923545
490.264163,88.0860307,45,1,59,150,19.91298988
375.5726389,85.57966624,53,1,57,107,20.60638636
317.5683017,69.90100388,30,2,35,165,28.82624577
172.7404259,57.69120866,26,2,33,142,20.24297758
424.5709976,97.13676905,37,2,31,116,30.50512057
494.110048,93.73434085,40,2,23,126,18.69967061
235.5968701,72.85848006,40,2,41,141,27.60522207
464.249638,62.05626345,35,2,58,163,33.11129923
151.9028056,76.54170053,56,2,29,143,27.55497745
231.8466207,67.93233313,46,1,34,173,28.50002039
211.5690332,74.78379577,19,2,20,113,28.63461603
432.5814861,70.90804248,52,1,60,174,30.06443828
185.6912255,91.55953764,26,2,39,108,24.90687825
130.6716919,74.82810607,34,2,53,175,32.68915046
405.7350129,55.20029219,37,1,34,121,33.96003305
429.2259457,62.52092213,49,1,35,156,33.76834964
457.7859377,59.50071749,60,1,20,152,27.78900819
234.6971393,75.49812964,31,2,33,109,29.79524487
325.583073,80.07794564,52,1,59,121,27.49563182
485.9187709,70.55148345,53,2,56,123,24.84138033
356.1919797,67.09731404,29,1,29,131,20.57043402
205.3105086,61.70546074,25,1,34,170,32.20986738
402.8856762,89.19636444,35,1,37,166,32.56545696
117.4860917,94.19149736,58,1,59,139,32.88107776
286.0712716,78.80074319,36,1,48,176,24.89631692
356.008851,76.88315527,28,2,56,139,18.97547292
443.5633539,67.77907437,28,1,33,140,32.45666921
284.6317117,92.05053161,57,1,22,173,20.24783223
230.8768453,95.13604625,54,2,31,112,31.28580408
174.2992364,57.17940076,48,1,40,158,18.94616344
267.3769996,65.80457841,55,1,29,108,27.99533169
286.1914351,76.19877072,36,1,35,163,26.32556151
234.0054001,78.68874734,38,2,35,172,31.84876288
362.3959666,52.9856708,54,1,26,121,18.5073579
239.320521,82.85396089,32,2,37,135,21.96848172
210.2778187,94.78839529,22,1,49,161,27.06778613
293.207588,61.96036712,27,1,56,161,34.74591277
244.3192902,59.87344803,32,2,59,172,21.41510889
403.7854978,90.11062593,36,1,32,125,23.5151407
369.5554399,60.62896142,55,2,53,105,30.60633638
393.9093282,46.01182596,19,2,54,118,26.95388329
176.0152056,81.57185851,57,2,43,169,29.97871541
365.064624,82.1621455,35,2,48,157,19.39602526
237.0104572,84.24216616,43,2,58,129,23.5115786
448.1459669,94.9942727,51,1,44,148,23.83007556
421.7743341,79.27657729,42,1,31,129,30.5228411
112.4696283,69.06057404,38,2,23,165,24.41600157
497.4458291,102.3994684,47,2,20,129,28.66393937
118.1249583,94.50599144,20,2,49,161,29.59468014
389.2848722,56.48557929,27,1,39,100,19.44573733
183.8333267,85.27946771,47,2,44,180,34.67216239
460.3334213,93.36150376,57,1,22,110,33.11354844
322.2219591,96.73177695,41,1,60,170,33.18319193
324.0535777,82.89063802,43,2,40,164,20.29201348
319.0717729,80.1532844,24,1,46,103,30.43215475
272.1037386,50.83708547,50,1,52,100,33.09343493
345.0829471,88.92841469,23,2,58,160,33.82521305
340.6127521,50.61060835,42,1,33,134,26.73067945
170.4308566,58.32967159,20,2,22,173,33.05920683
257.008504,67.267426,30,2,38,156,34.22072786
190.6263787,84.18330431,56,2,36,126,32.01706691
187.0339816,100.2216347,36,2,33,140,31.6866112
314.1332223,51.00308239,58,2,56,137,24.2652069
468.1328403,80.54713811,38,1,24,139,25.41720088
404.9578894,55.24933072,58,2,36,100,22.36818768
418.8612354,66.74462861,20,2,52,113,23.65520498
197.2051516,80.78375375,18,1,51,160,33.61275116
278.726369,81.18764582,19,2,57,115,28.3355345
127.7115905,86.66002042,54,2,23,163,26.51388403
410.539158,88.56067214,29,1,57,171,25.79794485
182.6056498,100.7805254,59,1,32,138,23.76426714
131.3426149,99.23552721,51,2,30,172,27.6403941
463.417436,53.59928224,56,2,37,134,26.33731411
471.5948003,72.35174449,23,1,54,136,28.24448254
257.1698498,81.9879958,58,1,39,178,29.68097663
339.9604748,49.97882404,19,1,20,122,31.34453458
244.0539757,68.15207725,59,1,28,178,32.59771716
257.5737804,70.97033879,48,1,55,112,31.39387898
273.2742054,87.72757221,29,2,38,110,32.89558236
352.6037483,59.16763762,60,2,36,163,25.12404636
173.2961994,87.02831491,33,2,40,128,23.93778216
129.7115151,50.11442084,23,2,43,169,22.15022532
127.3315282,67.49904233,41,1,26,173,22.65926728
261.7598554,66.02616453,41,1,32,179,25.449714
471.9837407,66.25734267,37,2,38,110,22.11113718
459.6147362,94.70963061,40,2,47,176,21.99310836
393.4636436,98.05311322,19,1,41,149,29.80488867
101.9456791,59.82161483,59,1,25,169,33.42305528
409.108234,48.42827548,19,1,56,125,19.26643117
341.1224165,85.79607161,58,1,56,176,28.97555057
378.2517597,97.94466485,56,2,41,116,25.63658453
159.8061431,94.56582528,49,1,41,100,26.03087932
129.2620494,66.57596745,57,1,38,101,26.5239871
107.9959272,72.69554686,25,2,44,138,23.43823705
496.0086544,82.46629141,52,2,56,131,34.23957776
187.2563534,90.28865434,44,1,52,137,32.9590802
368.3936582,52.85641986,20,1,36,106,22.45858356
183.7913774,60.64784364,26,1,51,104,32.46193126
306.0503365,71.62449689,52,2,54,136,31.04303979
265.3289125,92.84790394,34,2,37,107,29.61682562
431.6148496,57.80149477,25,2,21,118,32.46646657
